,Unidade,2020,2021,2022,2023,2024,Tipo Vaga
239,3-154,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
240,3-155,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
241,3-156,Coberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
242,3-16,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
243,3-161,Coberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
244,3-162,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
245,3-163,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
246,3-164,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
247,3-165,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
248,3-166,Descoberta,Descoberta,Coberta,Descoberta,,Regular
249,3-2,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
250,3-21,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
251,3-22,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
252,3-23,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
253,3-24,Descoberta,Descoberta,Descoberta,Descoberta,Descoberta,PNE
254,3-25,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
255,3-26,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
256,3-31,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
257,3-32,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
258,3-33,Coberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
259,3-34,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
260,3-35,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
261,3-36,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
262,3-4,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
263,3-41,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
264,3-42,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
265,3-43,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
266,3-44,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
267,3-45,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
